,full_text,sentimen,aspect
280,hua quite sad cuz i cant attend coldplay concert and jungkook golden concert too although i probably wont even win  but its ok cuz my friends will lol,Positive,no aspect
281,slightly fomo coldplay tapi january ada nct unity huhuhu gapapa lets save up for concerts that i truly like and will enjoy to the fullest ,Positive,no aspect
282,feels quite strange that some people thousands of miles away are about to know the lifeaffirming experience the pure happiness and sheer joy that a coldplay concert brings meanwhile for me its just wednesday,Positive,experience
283, drive in concert  coldplayinjakarta ,Neutral,no aspect
284,makes me cant wait to go coldplay concert next year,Neutral,no aspect
285, showing ur colours as a muslim  hehehe  coldplay concert timing deemed insensitive amid palestine humanitarian crisis ,Negative,no aspect
286,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
287,whoa i guess more trains are operated than usual because of coldplay concert lol the interval was shorter so i got home faster ,Positive,no aspect
288, thank you im off to perth which is on the other side of the country for me going to the coldplay concert this weekend ,Positive,no aspect
289,coldplay came and its concert venue is almost right across my ofice tower add anti lgbt demonstration  imagine the traffic,Negative,facility
290,breathing the same pollution as coldplay rn and cant attend the concert bc of work ,Neutral,no aspect
291,jakarta a city not known for the efficient flow of its motor vehicle traffic is attempting to host tonight a meeting of eighteen asian defense ministers and their motorcades alongside a coldplay concert which has turned into a onceinadecade national cultural event,Positive,no aspect
292,  hi i am from taiwan could you please picture amp  share the recycled rate on the screen today in the concert wish you all have an amazing night,Positive,no aspect
293,coldplay are doing a concert here in perth on saturday thankfully i leave on friday ,Positive,no aspect
294,were going to coldplay concert ,Neutral,no aspect
295,so sad but not to sad knowing coldplay concert rn in jkt ,Negative,no aspect
296,two concerts held by british rock band coldplay at the kaohsiung world games stadium over the past weekend attracted more than  fans and generated about nt million us million in revenue for the southern taiwan port city ,Positive,experience
297,sending all my positive vibes and best wishes to  for their jakarta  concert  may the music of music of the spheres fill the air with magic and joy nambiaradarshnarayananpv coldplayjakarta musicofthespheresworldtour musicofthespheres ,Positive,experience
298,another exhausting day karena ada event kantor pas coldplay concert day ,Negative,no aspect
299,ive been in the car for  hours the traffic cuz of coldplay concert is crazy,Negative,no aspect
300,im mentally ready to watch the coldplay concert from the many many ig stories,Positive,no aspect
301,so many extremist retard muzzies in my city lol theyre trying to cancel coldplays concert now,Negative,no aspect
302,ramp b singer rahmania astrini  is the special guest who will open coldplays music of the spheres world tour jakarta concert at the gelora bung karno gbk main stadium on wednesday    seatoday seatodaynews jakarta indonesia rahmaniaastrini specialguset coldplay ,Positive,experience
303,lf lfs wtb  selling  tickets coldplay magkatabi  day  jan   lower box b premium  row  seats  and  price  each orig price dm for deets  payment upon meet up manila area   concert philippine phil arena tickets mnl manila lf ic coldplay selling ,Negative,ticket
304,wts  ticket coldplay jakarta cat  masuk bareng boleh full cod urgent karena temen cancel minat dm quick  tags  jual tiket concert wts wtb beli coldplay konser,Negative,ticket
305,my though on this overhyped situationeven if coldplay concert they said it was the best or anythingelse remember bymean the best is very subjective to every person you shouldnt just take someone words and not processing it you should relate it to yourself,Positive,no aspect
306,people here are protesting over coldplay concert because they support lgbt lmaoo im so done  with indo locals man,Neutral,no aspect
307,selamat menikmati konser coldplay temanteman youll enjoy a concert of a lifetime,Positive,no aspect
308, perth for the coldplay concert ,Neutral,no aspect
309,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
310,i mean this coldplay enthustiasm is kinda wild and funny i am not the concert goers but its just fascinating to see how the roads are just fillleeedddd up with cars lining up and in gbk lots of people are like storms of ants,Positive,no aspect
311,after years i think this is the first time ive gotten the most fomo of  nevertheless wishing everyone to have a blast at the coldplay concert,Positive,no aspect
312,cousins are at the coldplay concert amp  they have zero experience with any concert  they have come to me for wisdom  see being a btxt stan makes you experience many useful things,Positive,experience
313,today  everyone turn their eye on the coldplay concert meanwhile i proudly chose to walk in the cinema for the opening day of past lives  sorry bro kita ,Positive,no aspect
314,cannot watch  in concert tonight so i pamper myself with  twist ice cream cone  its idr only less than us  ,Neutral,no aspect
315, the war between israel and palestine has been going on for years and t coldplay concert has nothing to do with palestinian suffering let people enjoy what they want to enjoy stop guilt trip them,Negative,no aspect
316,deepavali shouldnt be celebrated coldplay concert shouldnt be held nonmalays not sensitive to the feelings of malaysmuslims concerns for the people of palestine in conflict with israel ,Negative,no aspect
317,remembering this in light of coldplay jakarta concert today,Neutral,no aspect
318,basically amid the gaza war atmosphere a bunch of islamist politicians have called for coldplays concert to be boycotted or otherwise disrupted because they support lgbt well i mean they do,Negative,experience
319, next time will be me at coldplay concert  anyways enjoy the concert guys dont forget to keep safe ,Positive,no aspect
320,cant wait for the coldplay concert in malaysia next week,Neutral,no aspect
321, solidarity is solidarity support is support but life still need goes on just because we grief doesnt mean life has to come to a standstill imagine the economy impact because of concerts no wonder coldplay chose to do  days in singapore rather than malaysia bongok betul,Negative,no aspect
322,coldplays concert will be held in jakarta indonesia many rumors say it will not be held  so who is this ratio       ratio  ratiofarming  coldplayjakarta,Neutral,no aspect
323,many offices in jakarta ask their staff to leave early to avoid traffic caused by coldplay concert ,Negative,no aspect
324,didnt really want to post it here but considering this cleared  of my bucket lists i have to    going to a concert  coldplay concert  singing viva la vida in coldplays concert  coldplaykaohsiung ,Positive,no aspect
325,im probably not going to coldplay concert cuz i just didnt have the mood to but i wont bash anyone wholl be going some have even plan to bring  flags to express support there and thats good yg terpaling asyik nak bash org mcm ni tgk balik diri sendiri mmg suci sgt ke,Positive,no aspect
326,wtb ticket for coldplay concert preferably cat   coldplayinkl,Neutral,ticket
327,coldplay ada following ramai and this js one of their biggest concerts use the platform to promote awareness about palestine lah   to concert goers jangan lupa bawa bendera  atau pakai warna hijau,Positive,no aspect
328,bts will be on coldplays concert today in jakarta my universe,Neutral,no aspect
329,aaaahhh excited banget liat tementemen coldplay indonesia pada meet up sama nonton bareng have a very pleasant show my friends hopefully theyll have another concert in indonesia for the next era so we can attend the concert together coldplayjakarta,Positive,experience
330, hi chris look at jakarta make a ignor your concert right now and it has been tranding in  x land now,Neutral,no aspect
331,wts lfb ph  coldplay day    lbb premium ph arena concert mots,Neutral,no aspect
332,  depend on how strong coldplay etc stand behind their message i recall decades ago namewee try his first malaysia concert with countless protestor outside   namewee still standing strong as today with occasional concert,Positive,no aspect
333,wtb  want to buy coldplay jakarta   tix  cat    cod venue fullpay only no dp dp aku bayar sekarang cod scammer jauh  hit me up pls  tag wtt wts wtb ticket concert tiket konser coldplay jkt vip cat    ,Positive,ticket
334, those who guilttrip coldplay usually are the same crowd as all concertmusic are haram they will demonize all the stage performance local or foreign that they deem alien except nasheed,Neutral,experience
335,fyi coldplay literally mentioned genocide during one of their concert and wants to spread love worldwide   ,Positive,no aspect
336,coldplay concert in jakarta promotes sustainability initiatives  tempoenglish,Positive,no aspect
337,i will have my last laugh if the government decided to cancel coldplay concert,Positive,no aspect
338, they see the coldplay concert as an lgbt propaganda event  ,Negative,no aspect
339,dozens of muslim hardliners rally outside mulia hotel near the gbk stadium in central jakarta they demand a halt to the coldplay concert as a protest for the bands support for the lgbtq community reports said protesters scuffled with police causing severe traffic congestion ,Negative,no aspect
340,not really sure if its the translation  message of the post but op posting a reminder for coldplay concert goers to not bring an izone lightstick makes me   ,Negative,no aspect
341,ill make sure that ill jog around kl town few days before coldplay concert ,Negative,no aspect
342,i can only ugly crying bc no more coldplay concert when everyone is on it ,Negative,no aspect
343,local artiste bunga responds to negative opinions on her as opening act for coldplays kl concert  ,Negative,no aspect
344,coldplay concert day ,Neutral,no aspect
345,dah start dah statement suruh cancel concert coldplay,Negative,no aspect
346,malaysian muslim solidarity isma has expressed concerns about the upcoming coldplay concert scheduled for next week in kuala lumpur citing the ongoing humanitarian crisis in gaza palestine coldplay concert isma ,Negative,no aspect
347,today is my first coldplay concert  just shill icp to chris martin  ,Neutral,no aspect
348,todays top  news bmkg forecasts rain in jakarta amid coldplay concert krl guide to gbk stadium for coldplay concert  tempoenglish,Positive,no aspect
349,wtb coldplay infinitycat cat cat cat  reasonable priceunderprice  coldplay coldplayjakarta coldplayinjakarta zonauang concertcoldplay coldplaytickets wtb concert,Neutral,no aspect
350,sebagai team kalah war im not ready to see euforia coldplay scene concert,Negative,no aspect
351,  i was looking forward for coldplays concert  but coldplay support palestine kan sedih sbb under um uhuhu skrg tak tahu nak react cemana why why whyyyy,Positive,no aspect
352,  hey sure will send as as im home watching coldplay concert rn ,Positive,no aspect
353,meanwhile coldplay is using their concert platform to promote solidarity to palestine ,Positive,no aspect
354,a coldplay concert a kanye concert and im just good  it only has to be once,Positive,no aspect
355,my yo couldnt believe she would go to coldplays concert today,Neutral,no aspect
356,im so jealous of whoever is going to the coldplay concert today i still have to wait until next year to see them ,Negative,no aspect
357,the fact that banyak cici  koko experiencing mrt jakarta for the first time is    even the government failed to force them to use mrt only coldplay  jakarta traffic to the concert can,Negative,no aspect
358,  okey bang terpaling nak join concert coldplay,Positive,no aspect
359,wishing everyone a spectacular day at the coldplay concert today november     lets turn the music into a movement  lets follow their lead and make every beat count   coldplayconcert coldplayconcertjakarta gotionindonesia gotion goinnovation ,Positive,experience
360, tmi i cant wait for tonights coldplay concert,Negative,no aspect
361,jakarta is ready for their first ever  concert       follow us  ,Positive,no aspect
362,wts want to sell tiket coldplay jakarta    festival  cat   cat    trusted bisa check media twitter for previous concert  wa    coldplayinjakarta coldplayjakarta coldplayjakarta coldplayinjakarta coldplayjakarta,Positive,no aspect
363,ill be in line at coldplay concert too next week and my flight is in  days aaaahhhh i am not ready,Negative,no aspect
364,jin with me  coldplay concert in jakarta ,Neutral,no aspect
365,we are here  enjoy the concert para customer kami  open rentsewa samsung sewa iphone  samsung s ultra   booked iphone   booked telezoom  booked  coldplay music of the spheres   november    cod venue konser gbk stadium ,Positive,facility
366, i hope so too  unfortunately when i think of something like this i always think of the terrorist attack at the ariana grande concert in manchester thats always in my mind the people were all there just to have a great evening together ,Negative,no aspect
367,pantes macet baru inget coldplay concert,Neutral,no aspect
368,  weve got wiggles concert and coldplay in perth this weekend as well as all the other local gov events happening my council has their annual show  plenty of bodies to share this around,Positive,experience
369, you know indonesia one of the most demanding ticket for your concert despite you are aware of the wrack way ticket sales here you still give a day for indonesian fans here its so scary if you search penipuan coldplay here theres a lot thread about the scam,Negative,ticket
370,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
371,coldplay concert fit check ,Positive,no aspect
372,coldplayconcert omg hr ini,Neutral,no aspect
373,  hi can we request for the extension of operation hour on nov for coldplayinkl  one of the  green amp  sustainability movement is encourage concert goers to use public transport which you guys should support this initiative too tq  ,Positive,no aspect
374,wts tiket coldplay singapore  jan   tix normal price seat festival asap to dm  coldplayinsingapore coldplayconcert coldplayinsg,Positive,ticket
375,help rt wts coldplay world tour singapore   tix standing pen idr k  jan    proof order  cod jaksel  dpfullpay  kontak wa ig  minat dm  coldplaysingapore coldplayinsingapore coldplayconcert zonauang zonaba jastipkonser,Positive,no aspect
376,coldplay en el tiny desk concert ,Neutral,no aspect
377,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
378,the jakarta metropolitan police have prepared situational traffic engineering related to the coldplay concert scheduled to be held at gelora bung karno main stadium sugbk jakarta on wed  lets take a look at the following picture  seatodaynews  jakarta coldplay ,Positive,no aspect
379,should i boycott coldplay too ive already bought my  flags for their concert  ,Negative,no aspect
380,anyway have fun to yall whos heading to coldplay concert sing loud vibe hard make it lit and be safe otw home afterward,Positive,no aspect
381,wtb lfs    looking for    coldplay tix for ph day   seated together   ubb sides  ubc sides   concert philippine phil arena tickets mnl manila lf ic coldplay ubc sides ubb sides bulacan wts lfb selling,Neutral,no aspect
382,justin bieber et mes deux concerts de coldplay of course,Neutral,no aspect
383,next week concert coldplay ,Neutral,no aspect
384,bmkg forecasts rain in jakarta amid coldplay concert  tempoenglish,Neutral,no aspect
385,hi   nanti concert coldplay on nd november nak minta tolong extend lrt operation time maybe until  or am thank you,Positive,no aspect
386,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
387,  ticket vip  can cod in malaysia  november at coldplay concert dm me if u interested ,Positive,ticket
388,literally my mom telling everyone to boycot coldplay  while her daugthers were planning ahead before the concert maapin mama kami lgtm bukan lgbt  ,Neutral,no aspect
389,the way im more excited for stc hangout day than for coldplay concert aisnsisbisbs,Positive,no aspect
390,wts tix coldplay singapore  january  cat  section  row c seat number  amp    print at home ticket no need to worry you can also enter the concert venue with me please dm me for more information coldplayinsg coldplaysingapore coldplay ,Negative,ticket
391,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
392,coldplay and nicki best concerts ive ever been to,Positive,no aspect
393,hi concert coldplay music of the spheres world tour  di kota metropolitan jakarta indonesia to night     ,Neutral,experience
394,krl guide to gbk main stadium for coldplay concert accommodation  tempoenglish,Neutral,no aspect
395,im not a coldplay fan but i wish success for their concert tonight in jakarta ,Positive,no aspect
396,wtr rent sewa hp   samsung s ultra   free powerbank  gdrive  jaminan  kartu id  for concert only  twice  des k coldplay  nov  ikon  nov  gda  jan  the unity  jan   another concert dm,Positive,no aspect
397,can i buy the coldplay merch during the kl concert also where can i see the designs  note i am going to the sg one,Neutral,no aspect
398,i think i dah kena fikir outfit for my coldplay concert on january nanti ,Neutral,no aspect
399,today jins message arrived and today also coldplay concert in jakarta whatta day  have fun army yang ngajak wootteo ke konser coldplay   if you watch coldplay today remember to do not get cold as seokjin said  warm winter with jin jin   btsjin ,Positive,no aspect
400,i aint gonna be able to see coldplay concert today since ticket scalpers bought all the tickets and sold them higher than normal price thanks asshole youve ruined my childhood dream ,Positive,ticket
401,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
402,im going to coldplay concert next week  lookin forward for my universe,Neutral,no aspect
403,wts  tiket coldplay concert singapore  jan  general standing  festival                        minat dm   gass viva la vida  coldplayjakarta,Positive,no aspect
404,as i am watching jins video i realized that last night i dreamed of seeing him being at a coldplay concert ,Neutral,no aspect
405,wts  tiket coldplay concert singapore  jan  general standing  festival                        minat dm ,Positive,no aspect
406,pardon me for some morning tweets   its my day off and coldplays concert have a great day everyone,Positive,no aspect
407,open rent samsung s ultra   update available any concert and event  other event pricetnc dm coldplay nov ikon nov fm junho nov twice con dec  nct   jan   nct   jan  ,Neutral,no aspect
408,i need another coldplay concert in my life,Neutral,no aspect
409,drumroll please  we are excited to announce the winner of the coldplay music of the spheres giveaway on syok    congratulations  youre in for an unforgettable night with coldplay  see you at the concert   head over to syok here  ,Positive,experience
410,wtb ticket for coldplay concert coldplayinkl,Neutral,ticket
411,coldplays concert starts at almost  pm my old bones crack just thinking about it,Neutral,no aspect
412,can yall believe coldplay is having concert here in indonesia today which is wednesday,Neutral,no aspect
413,my manager suddenly took sick leave today is he going to coldplay concert or what,Negative,no aspect
414,wtb coldplay mots in jakarta seating tickets category  butuh  tickets if available for cod  tags  wts wtb sell buy jual beli tiket konser concert coldplay jakarta,Neutral,no aspect
415,and just like that coldplay concert next weeeeeeeek,Positive,no aspect
416,wtb coldplay concert  tix festival cat   cat  dm yaaa,Positive,no aspect
417,welcome to indonesia thank you for coming i hope you can enjoy the moments here i wish i could come to your concert  but can you say aku padamu i love you to the audience  ,Positive,no aspect
418,happy coldplay day to everyone wholl attend the concert today have the best time ,Positive,no aspect
419,i feel like a coldplay concert would have the same vibes as a hip christian church where they sing and have strobe lights,Positive,no aspect
420, fix they are going to coldplay concert wkwkkw,Neutral,no aspect
421,please dont do this people are going there to enjoy coldplays concert not to wave flags respect the artist and respect others,Positive,no aspect
422,lf passengers  coldplay carpool  available pickupdropoff batasan don antonio circle centris cubao sm north marikina bgc and moa   coldplay music of the spheres concert carpool shuttle vanpool ph philippines bulacan  ,Neutral,experience
423,people going to coldplay concerts and im going to fallen leaves screening for the better yearning experience yupp,Positive,experience
424,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
425,coldplay concert tonight if you love yourself avoid gbk from pm and better use mrt or tj not gojek or grab,Positive,no aspect
426,artist with the most concerts in a single tour at wembley stadium   taylor swift   shows  coldplay  harry styles   shows  ed sheeran   shows ,Positive,no aspect
427,wtb want to buy coldplay in jakarta cat   cod venue hmu on dm    coldplay jakarta wts wtb ticket concert,Positive,ticket
428,its  day cant watch the concert in jakarta but still in the mood to listen to their songs in spotifyplaylist      cause youre a sky cause youre a skyfull of stars   coldplayjakarta coldplayinjakarta,Neutral,no aspect
429, have fun everyone hope everything is under control and enjoy the concert for all,Positive,no aspect
430,lba  premium  coldplay concert jan  cutie ,Positive,no aspect
431, please release a concert of your tour on blue ray or on some platform please i only got to see you in the cinema and that was over a year ago ,Positive,no aspect
432, will be the best concert ever in ,Positive,no aspect
433,police announce traffic diversion to anticipate coldplay concert  tempoenglish,Neutral,no aspect
434,conservative muslims protest coldplays planned concert in indonesia over the bands lgbtq support  coldplayjakarta  ,Positive,no aspect
435,wtb   coldplay music of spheres concert in kuala lumpur   need ticket cat section   please dm me if u have any  wtb coldplayinkl coldplayinmy,Positive,ticket
436,i am taking chanyeol in a form of photocard lol to coldplay concert today,Positive,no aspect
437,wts want to sell coldplay concert in singapore   january  tix cat  sec  row j original price negotiable cod denpasarjakartabintaro accept indonesian bank transfer only  all proof by dm  ,Positive,ticket
438,have fun everyone at  concert ,Positive,no aspect
439,may everyone that is going to coldplays concert today will have the best times of their lives,Positive,no aspect
440, to book a room for a coldplay concert will cost you  ,Neutral,ticket
441,catching up on bangtan content and i am full on sobbing at the behind vid of jin performing the astronaut at coldplays concert bring him back to me rn,Negative,no aspect
442,    well yes but i think timings of the essence here unfortunately her time in asia  oceania clashes with indonesias pemilu so tensions will definitely be high around that time also coldplays concert is literally being protested by those people rn imagine her with yntcd ,Negative,no aspect
443,my colleagues and bosses got a bunch of free coldplay tickets last minute and were all supposedly gonna be in the same zone standing lol  gonna be interesting to see all of us out of the hospital at a concert vibin together ,Positive,no aspect
444, just wondering if the track is open for parking this sunday for the coldplay concert,Neutral,no aspect
445,coldplay concert is one of my wishlist in lifetime for a long time      aaaaaaaaaaaaaaa      ,Neutral,no aspect
446,today coldplay hold their concert in my city and i cant attend it wawaaaaaaaaaaaaaaagggggghjjhhhhhjjjjh ,Neutral,no aspect
447,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
448, i only knew one coldplay song when i went to see them in concert and i absolutely fell in love with them at that concert,Positive,no aspect
449,  next week coldplay concert fr your outfit,Neutral,no aspect
450, then i de or  wife u up so u can take me to another coldplay concert and manifest jin is there,Neutral,no aspect
451,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
452,those who refuse coldplay concerts in indonesia will definitely not accept this,Negative,no aspect
453,the worst experiences today with   who changed our flight in lest than  hours due to downside of the plane in a peak week with coldplay concerts and having tickets  months in advance,Negative,no aspect
454,i would absolutely love to go to a coldplay concert are you kidding me,Positive,no aspect
455, that people doesnt like coldplay they just listen to viva la vida and go to the concerts but a real coldplay like him that basically just lives posting photos and threads about the band and still votes bolsonaro is kinda sad,Negative,experience
456,ok i need to sleep i have seminar at  and a coldplay concert tonite,Positive,no aspect
457,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
458, coldplay best energy from any concert ive been to,Positive,no aspect
459,  me too or even a coldplay concert ,Neutral,no aspect
460,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
461,i am also watching a coldplay concert video  night made,Neutral,no aspect
462,ahhhh chrisssss welcome to indonesia chrissss   i forgot tomorrows coldplay concert  cryingggg plissss come back again until i watch u guysss i hv tried everything but i had too much competition just to watch u guys  never mind indonesia thailand,Positive,no aspect
463,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
464,this crowd is whiter than a coldplay concert,Neutral,experience
465,coldplay music of the spheres world tour day   jan    p each same price  lowerbox b regular  section  row    adjacent seats  meetup  rfs nadoble nang bili   wts lfb lbb lbox reg coldplay manila bulacan ph arena concert ticket tix coldplay motswt ,Neutral,ticket
466,    go ask  since all concert at ms monumental including madonna acdc harry styles coldplay and the weeknd has empty seat at that section doesnt matter since taylor still sold more tickets than any other artist in that stadium for a single day ,Negative,facility
467,life before coldplay concert in jakarta ,Neutral,no aspect
468,bru all my friends goin  coldplay concert,Positive,no aspect
469,im not going to open any social media tomorrow just to see peoples watching coldplay concert which is just a few kilometers from me while i have to go to work because i didnt get the tix i hate you all it should be me tf,Negative,no aspect
470,it has been reported that croke park is set to host a sixth concert next year with legendary rock band acdc being rumoured to headline the show  if confirmed the band would join bruce springsteen and coldplay at the dublin stadium in   ,Positive,experience
471,hopefully yall who go to coldplay concert in jakarta will do this i heard amnesty indonesia will be there too so its the right time,Positive,no aspect
472,it has been reported that croke park is set to host a sixth concert next year with legendary rock band acdc being rumoured to headline the show  if confirmed the band would join bruce springsteen and coldplay at the dublin stadium in   ,Positive,experience
473,in all seriousness i do hope coldplay is having a wonderful time in indonesia either with the culture or the people so that indonesia will always be a home for them   good luck for todays concert at gelora bung karno stadium  break a leg coldplayjakarta,Positive,no aspect
474,mrt jakartas operating hours on the day of the coldplay concert at gelora bung karno stadium jakarta on wednesday  will be extended until  am  seatoday seatodaynews indonesia jakarta mrtjakarta coldplay musicofthespheresworldtour ,Neutral,no aspect
475,  security guard coldplay concert ,Positive,no aspect
476,one of the best and first watching concert is coldplay paris  mylo xyloto tour and tomorrow coldplay is getting concert in gelora bung karno jakarta have a nice day in jakarta c w g j ,Positive,no aspect
477,concerts ive been to this year  harry styles x sam fender coldplay inhaler louis tomlinson x,Neutral,no aspect
478, its apparently real enough to trigger you out of going to a coldplay concert ,Neutral,no aspect
479, p welcome to jakarta city of the winner  enjoy guys  dont forget to banda neira if you finish from the concert ,Positive,no aspect
480,really sad rn bcs pupus bucket list aku nonton coldplay concert hufttt ,Negative,no aspect
481,selling my ticket for coldplay concert in january for only k,Neutral,ticket
482,spreen is an argentinian content creator who met jin at the coldplay concert and fell in love with the astronaut lets vote for him i just cast my vote for spreen who will you vote for thegameawards  ,Positive,no aspect
483,attending a coldplay concert here ,Neutral,no aspect
484,idk what should i do w my life anymore i have coldplay concert tmr but oor mfs im ,Negative,no aspect
485,man i wish i could attend a coldplay concert just to hear them perform the whole of parachutes,Positive,no aspect
486,minister of tourism and creative economy sandiaga uno said that coldplays concert on november   would still be held despite some rejections   seatoday seatodaynews jakarta indonesia coldplay musicofthespheresworldtour ,Positive,no aspect
487, you can join coldplay malaysia telegram there fans discuss all sorts of stuffs regarding the concert link should be on their x platform,Positive,no aspect
488,got concert tickets for ed sheeran coldplay and taylor swift next year pretty stoked icl,Positive,no aspect
489,guys  this morning my friend that live in taiwan sent me this video of coldplay singing my universe in their concert  temenku tau kalo aku army dan dia ngirimin ini pagi pagi tadi  aaaaaaaaaa gomawo chinguyaaaa   all credits to my friend do not allow to claim it ,Positive,experience
490,this boycott against coldplays concert is so funny because theyre heterosexual as fuck,Negative,no aspect
491,me as a baby army hopping on a flight to los angeles for the first time with  to my name and my moms credit card to stay for an entire week and see the tannies for  shows while also seeing megan thee stallion and coldplay my last ot concert too  ,Positive,no aspect
492,it was a good choice not to attend coldplay concert since i just know  of their songs list and not even one song i remember a whole lyric  im a type of person who attend concert to sing live with the singer,Positive,experience
493,   most beautiful concert picture i have ever seen there is so much love in it ,Positive,no aspect
494,wts  tix coldplay kuala lumpur cat  section  seat  row ff price rm negotiable and installment accepted dm for any questions coldplayinmalaysia coldplayconcert coldplaykualalumpur,Positive,ticket
495,aku pergi concert coldplay fuck you,Negative,no aspect
496,wts  tix coldplay kuala lumpur cat  section  seat  row l price rm negotiable and installment accepted dm for any questions coldplayinmalaysia coldplayconcert coldplaykualalumpur,Positive,ticket
497,i thought im gonna be fine didnt get coldplay tickets concert but now i feelgalau,Positive,no aspect
498,conservative muslims protest coldplays planned concert in indonesia over the bands lgbtq support from  ,Positive,no aspect
499,my only will to live rn is the coldplay concert next week i cant wait to float in the sky when chris martin sings yellow,Neutral,experience
500,me instigating any coldplay discourse so that theyr concert get canceled too ,Neutral,no aspect
501,submitted a leave and put attending coldplay concert ya pak d  then he said have fun for tomorrow tadi sore  ahhh i lov my boss ,Positive,no aspect
502,want to sell coldplay concert singapore    january   only  ticket  cat  general standing festival  gate  price  million hit me up to instagram  coldplaysingapore coldplayconcert coldplaytickets,Positive,ticket
503,candle light concert  candlelightconcerts coldplay,Neutral,no aspect
504,can we get a coldplay concert inside the las vegas sphere,Neutral,no aspect
505,wts lfb ph  coldplay music of the spheres day    lowerbox b reg     price  same price  rfs decided not to push through since planning to attend another concert the next day at the same venue  ticket on hand   loc cebu city,Positive,ticket
506, coldplay punya concert siap ada moment of silence for palestine i heard,Neutral,experience
507,gonna see coldplay tomorrow and fly to yogyakarta the next day so i must pack my luggage but here i am busy looking for vs concert fancams i want to see nobodys home feat hiroki ,Positive,no aspect
508,guys how do i break the news to my mom that im going to coldplays concert next week  note  dia x kasi pegi even before the tickets went on sale    so like im still going i just dk how and when should i tell her  ,Positive,no aspect
509, like a dream to see you both in jakarta   and my nightmare i cant see you in my country   hope i can attend your concert someday ,Positive,no aspect
510, and concert postponed bcs chris got an ispa due to bad air quality,Negative,facility
511,i should make coldplay stickers to sell tbh im a broke college student need all the money for the coldplay concert ffs should i,Negative,ticket
512, i have a chance to see you in concert but just get well ,Positive,no aspect
513,so honour to be part of this incredible concert  hope to see you again someday coldplay   thank you for the beautiful memories ,Positive,experience
514, welcome to jakarta chrisbtw i cant see your concertcz i dont get the ticketenjoy your concert,Positive,no aspect
515,help rt scammer   wts coldplay jakarta wtb cat tix tiket ticket konser concert cat         festival penipu scam tipu bodygoodess,Positive,ticket
516,i forgot coldplay were coming for a concert here hope you enjoy your time coldplay hyungs   also  at chris casually walking the streets of jakarta barefooted its fricking hot here ,Positive,no aspect
517, welcome to the hot country indonesia sadly i cant go to your concert tomorrow please be mind and take serious action for the ticket scalpers when you see them tomorrow im  sure you could meet them at the venue holding the ticket and asking people around,Positive,ticket
518,  gimme free ticket to your concert ,Positive,ticket
519, i wish you the safest for your concert in my country iykyk,Positive,no aspect
520,concerts ive been to this year  otp x earcandy x lewis capaldi mneskin girl in red louis tomlinson x harry styles x neeve  niall horan pinkpop chase atlantic sos gracie abrams coldplay,Neutral,no aspect
521,lol coldplay support all human rights in their recent concert chris even mentioned about congo and palestine,Positive,no aspect
522,next week concert coldplay,Neutral,no aspect
523,so  tmr is coldplay concert,Neutral,no aspect
524,could we please have another concert in tokyo as a reward if we stayed on the leaderboard til the end of the tour pretty please   ,Positive,no aspect
525,hey  i dont expect you to do this but a minute of silence to pray for palestine before your concert tomorrow means a lot to us its not about politics its about humanity and im sure you guys are against genocide amp  apartheid  see you tomorrow  coldplayjakarta,Positive,no aspect
526,coldplay concert brings  visitors nt million to kaohsiung  taiwan news  ,Neutral,no aspect
527,i definitely want to attend a coldplay concert in the future ,Positive,no aspect
528,  coldplay concert tours are the fucking best btw ,Positive,no aspect
529,  are these bands free and included with the ticket because im watching coldplay concert next yr and i want one,Positive,ticket
530,stuck somewhere between youll never be in your s again singing at coldplay concert and i need to save my money aaaaa send help,Positive,ticket
531,coldplay band members is reportedly arrived in jakarta for tomorrows concert   cant wait for tomorrow ,Neutral,experience
532,i wanna sell milo at coldplay concert but trial mengacau,Neutral,no aspect
533, hi kak aku ada tix general standing coldplay sg concert  jan   please dm for more information,Positive,no aspect
534, hi i have  tix general standing coldplay sg for concert  jan   please dm for more information,Positive,no aspect
535,  thats will break all time record for the biggest concert tour attandance in one city set by coldplay  nights at ms monumental buenos aires argentina ,Neutral,no aspect
536,i cant stop crying over coldplay concert and it will be tomorrow here,Positive,no aspect
537,okay i havent prepared anything for coldplay tomorrow  my good old concert bag is in my sisters possession well ,Positive,no aspect
